,Date,SecurityId,spread,Maturity,Coupon,LiquidityScore,CleanPrice,AccruedInterest,DirtyPrice,ModifiedDuration,BidAskSpread,Rating,StdDev,ExpectedReturn
0,2025-01-01,Security1,30.0,2026-09-30,2.75,0.7842606663518962,100.76351934563989,0.7006849315068494,101.46420427714675,1.7050836315887437,0.06291880011791204,AAA,0.42217075682523564,-0.11743980022077195
1,2025-01-02,Security1,30.1430843716286,2026-09-30,2.75,0.7839804316878787,100.75989898006674,0.7082191780821917,101.46811815814893,1.7023432643851462,0.06289631776023694,AAA,0.24023947883385113,-0.07591507162778399
2,2025-01-03,Security1,29.8197876409757,2026-09-30,2.75,1.1809096009850646,100.76423880788093,0.7157534246575342,101.47999223253846,1.6996049870753251,0.0947407135529651,AAA,0.3851172097592108,-0.07345269335262435
3,2025-01-06,Security1,29.9282141145093,2026-09-30,2.75,0.9518877756591387,100.7588571847396,0.7383561643835617,101.49721334912316,1.6913853231294178,0.07636700303991528,AAA,0.2265013983904565,-0.06798747811073291
4,2025-01-07,Security1,29.786974873321,2026-09-30,2.75,1.2207980636145446,100.76007379539507,0.7458904109589041,101.50596420635398,1.6886462300004403,0.09794084115705554,AAA,0.26369619383849563,-0.06441709573439862
5,2025-01-08,Security1,30.007290235486,2026-09-30,2.75,1.0348377050690925,100.75516609301218,0.7534246575342465,101.50859075054643,1.6859055167287942,0.083021818526987,AAA,0.26972988381749635,-0.00945349267331886
6,2025-01-09,Security1,29.4215373720914,2026-09-30,2.75,1.0394595287536053,100.76388757158206,0.760958904109589,101.52484647569165,1.6831684154558055,0.08339261310213611,AAA,0.4205618220946537,-0.07522590319221174
7,2025-01-10,Security1,28.5870118037425,2026-09-30,2.75,0.7698708311445321,100.776776706969,0.7684931506849316,101.54526985765393,1.6804324287446213,0.061764348283226266,AAA,0.21983352640021614,-0.02517183988682369
8,2025-01-13,Security1,28.3624732383663,2026-09-30,2.75,0.7909917027474378,100.77691633115668,0.7910958904109588,101.56801222156764,1.672214256730398,0.06345881028510234,AAA,0.39067548733519913,-0.14000109547875175
9,2025-01-14,Security1,29.0276438018998,2026-09-30,2.75,1.0786865822362612,100.76454934900869,0.7986301369863013,101.563179485995,1.6694715502922524,0.08653967790237745,AAA,0.2868193152583654,-0.12068005056334062
10,2025-01-15,Security1,28.6675214479465,2026-09-30,2.75,1.0326134619220446,100.76937959603444,0.8061643835616439,101.57554397959609,1.666733437872094,0.0828433743999422,AAA,0.15143187148538004,-0.11592689430343371
11,2025-01-16,Security1,30.0432938911755,2026-09-30,2.75,0.9081849229883636,100.74518441357631,0.8136986301369864,101.5588830437133,1.663987547173953,0.07286085875683421,AAA,0.4334747812684225,-0.05656834229464849
12,2025-01-17,Security1,29.3800537193195,2026-09-30,2.75,0.8803828478018164,100.75507870533032,0.8212328767123288,101.57631158204265,1.6612507931204832,0.07063038451966186,AAA,0.39523722903106695,-0.1826912122216219
13,2025-01-20,Security1,30.107605933042,2026-09-30,2.75,1.0848629873849145,100.73944006145032,0.8438356164383561,101.58327567788868,1.6530283548752291,0.08703519172535551,AAA,0.2612022251077056,-0.06282176501219579
14,2025-01-21,Security1,30.6727022666351,2026-09-30,2.75,0.9070919313977881,100.72890795156732,0.8513698630136987,101.58027781458102,1.6502860965347563,0.0727731714324936,AAA,0.3719227237008753,-0.0769177356960871
15,2025-01-22,Security1,30.0730003176858,2026-09-30,2.75,0.8828072562656769,100.7376801678863,0.8589041095890411,101.59658427747534,1.6475490578920524,0.07082488728906808,AAA,0.3957399471221204,-0.010304412630421709
16,2025-01-23,Security1,29.7589919647281,2026-09-30,2.75,0.8154391410637283,100.74170169784506,0.8664383561643835,101.60814005400944,1.6448107389538489,0.06542015241382704,AAA,0.3644240731083872,0.09555643733725301
17,2025-01-24,Security1,29.059811132643,2026-09-30,2.75,1.0727503944188248,100.7520619576473,0.8739726027397261,101.62603456038703,1.6420741458834849,0.08606343597061636,AAA,0.18797319709208601,0.10844836170212402
18,2025-01-27,Security1,29.5846776885791,2026-09-30,2.75,0.978612286285226,100.73986778087496,0.8965753424657534,101.63644312334071,1.6338526159429159,0.07851102761551133,AAA,0.25527393337745186,0.05757760381314184
19,2025-01-28,Security1,28.5667412806946,2026-09-30,2.75,1.2145091658527571,100.75537698176858,0.904109589041096,101.65948657080968,1.631117451076269,0.09743630240073042,AAA,0.2846643981711949,0.04077789659614716
20,2025-01-29,Security1,28.6363602570508,2026-09-30,2.75,1.2178671437224118,100.75303333848942,0.9116438356164384,101.66467717410586,1.6283774131111817,0.09770570254719443,AAA,0.18975878374959393,0.004224172935852259
21,2025-01-30,Security1,28.9487024149916,2026-09-30,2.75,0.7546577284421232,100.7467275691209,0.9191780821917808,101.66590565131268,1.6256362875716197,0.060543848251573974,AAA,0.23179706578545475,-4.5939864733135495e-05
22,2025-01-31,Security1,28.8684367331694,2026-09-30,2.75,1.0605796277465465,100.7468437920173,0.9267123287671233,101.67355612078443,1.6228969211937343,0.08508701311991174,AAA,0.3907913786623303,-0.05357103168975737
23,2025-02-03,Security1,30.1420529532387,2026-09-30,2.75,1.031496822819473,100.72258666848681,0.9493150684931508,101.67190173697996,1.6146720361303437,0.0827537899090798,AAA,0.35841179485019836,-0.002085433387776683
24,2025-02-04,Security1,30.7362464322817,2026-09-30,2.75,0.7999906244622943,100.71179935067556,0.9568493150684932,101.66864866574406,1.6119296473904285,0.06418076585542001,AAA,0.30218110056216907,0.02765299407593734
25,2025-02-05,Security1,32.2004974986087,2026-09-30,2.75,1.0188172020508137,100.6869751777468,0.9643835616438357,101.65135873939064,1.6091833592544433,0.08173654327292601,AAA,0.39359836102879525,-0.08248170347335904
26,2025-02-06,Security1,32.52329971174,2026-09-30,2.75,1.0029423470243826,100.68065967049668,0.9719178082191782,101.65257747871586,1.6064421864831302,0.08046295290538272,AAA,0.38641950362293087,-0.06160220745976805
27,2025-02-07,Security1,31.5778525033134,2026-09-30,2.75,0.8162282851832336,100.69480212980189,0.9794520547945206,101.6742541845964,1.6037066976944954,0.06548346299824068,AAA,0.29787461610153815,-0.11170123850653958
28,2025-02-10,Security1,30.7439431068005,2026-09-30,2.75,0.9245044174822575,100.70481903629087,1.002054794520548,101.70687383081142,1.59549125673478,0.07417012116937237,AAA,0.2055432964128523,0.07012127178682885
29,2025-02-11,Security1,30.9780957661855,2026-09-30,2.75,0.7843956570300097,100.69992783142352,1.0095890410958903,101.70951687251942,1.592750481386319,0.06292963000121285,AAA,0.43980051503595363,-0.04658708382120811
30,2025-02-12,Security1,29.7743493781705,2026-09-30,2.75,0.8721422082540657,100.71804152759273,1.0171232876712328,101.73516481526397,1.5900161495891434,0.06996926357506505,AAA,0.35647520241845804,-0.05740871795501302
